Date,Iteration,Dataset,Classifier,Model_Architecture,Modification_Method,Num_Poisoned,Poisoned_Classes,Flip_Type,Epochs,Batch_Size,Learning_Rate,Weight_Decay,Optimizer,Train_Size,Test_Size,Num_Classes,Training_Time,Inference_Time,Total_Time,Original_Accuracy,Poisoned_Accuracy,Poison_Success_Rate,Clean_Test_Accuracy,Precision,Recall,F1-Score,Latency,Final_Train_Loss,Final_Test_Loss,Best_Train_Loss,Best_Test_Loss,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Class_10_Accuracy,Class_11_Accuracy,Class_12_Accuracy,Class_13_Accuracy,Class_14_Accuracy,Class_15_Accuracy,Class_16_Accuracy,Class_17_Accuracy,Class_18_Accuracy,Class_19_Accuracy,Class_20_Accuracy,Class_21_Accuracy,Class_22_Accuracy,Class_23_Accuracy,Class_24_Accuracy,Class_25_Accuracy,Class_26_Accuracy,Class_27_Accuracy,Class_28_Accuracy,Class_29_Accuracy,Class_30_Accuracy,Class_31_Accuracy,Class_32_Accuracy,Class_33_Accuracy,Class_34_Accuracy,Class_35_Accuracy,Class_36_Accuracy,Class_37_Accuracy,Class_38_Accuracy,Class_39_Accuracy,Class_40_Accuracy,Class_41_Accuracy,Class_42_Accuracy,Class_43_Accuracy,Class_44_Accuracy,Class_45_Accuracy,Class_46_Accuracy,Class_47_Accuracy,Class_48_Accuracy,Class_49_Accuracy,Class_50_Accuracy,Class_51_Accuracy,Class_52_Accuracy,Class_53_Accuracy,Class_54_Accuracy,Class_55_Accuracy,Class_56_Accuracy,Class_57_Accuracy,Class_58_Accuracy,Class_59_Accuracy,Class_60_Accuracy,Class_61_Accuracy,Class_62_Accuracy,Class_63_Accuracy,Class_64_Accuracy,Class_65_Accuracy,Class_66_Accuracy,Class_67_Accuracy,Class_68_Accuracy,Class_69_Accuracy,Class_70_Accuracy,Class_71_Accuracy,Class_72_Accuracy,Class_73_Accuracy,Class_74_Accuracy,Class_75_Accuracy,Class_76_Accuracy,Class_77_Accuracy,Class_78_Accuracy,Class_79_Accuracy,Class_80_Accuracy,Class_81_Accuracy,Class_82_Accuracy,Class_83_Accuracy,Class_84_Accuracy,Class_85_Accuracy,Class_86_Accuracy,Class_87_Accuracy,Class_88_Accuracy,Class_89_Accuracy,Class_90_Accuracy,Class_91_Accuracy,Class_92_Accuracy,Class_93_Accuracy,Class_94_Accuracy,Class_95_Accuracy,Class_96_Accuracy,Class_97_Accuracy,Class_98_Accuracy,Class_99_Accuracy
2024-11-27,27,CIFAR100,,,pgd,50,[],None,0,0,0,0,,0,0,0,0,0,0,3.5,4.0,96.0,0,0.035,0.04,0.037333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-27,27,CIFAR100,,,pgd,21,[],None,0,0,0,0,,0,0,0,0,0,0,9.069767441860465,11.395348837209303,95.23809523809524,0,0.09069767441860466,0.11395348837209303,0.10100422832980974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
